start_profile,strategy,weather_seed,status,loss_reason,months_played,final_budget,final_energy_autarky,final_citizen_satisfaction,final_supply_security,final_score,demand_growth_cap
current,wind_first,52,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,53,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,54,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,55,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,56,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,57,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,58,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,59,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,60,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,61,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,62,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,63,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,64,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,65,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,66,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,67,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,68,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,69,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,70,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,71,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,72,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,73,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,74,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,75,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,76,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,77,lost,bankrupt,13,0,48,74,12,12,2.0
current,wind_first,78,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,79,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,80,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,81,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,82,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,83,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,84,lost,bankrupt,13,0,48,73,17,12,2.0
current,wind_first,85,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,86,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,87,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,88,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,89,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,90,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,91,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,92,lost,bankrupt,12,0,46,71,17,12,2.0
current,wind_first,93,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,94,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,95,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,96,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,97,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,98,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,99,lost,bankrupt,12,0,49,71,17,12,2.0
current,wind_first,100,lost,bankrupt,13,0,49,74,12,12,2.0
current,balanced,1,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,2,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,3,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,4,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,5,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,6,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,7,lost,bankrupt,6,0,41,74,12,12,2.0
current,balanced,8,lost,bankrupt,6,0,42,74,12,12,2.0
current,balanced,9,lost,bankrupt,6,0,42,74,12,12,2.0
current,balanced,10,lost,bankrupt,6,0,42,74,12,12,2.0
current,balanced,11,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,12,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,13,lost,bankrupt,6,0,42,74,12,12,2.0
current,balanced,14,lost,bankrupt,6,0,42,74,12,12,2.0
current,balanced,15,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,16,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,17,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,18,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,19,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,20,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,21,lost,bankrupt,7,0,45,74,12,12,2.0
current,balanced,22,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,23,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,24,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,25,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,26,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,27,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,28,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,29,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,30,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,31,lost,bankrupt,6,0,45,74,12,12,2.0
current,balanced,32,lost,bankrupt,6,0,45,74,12,12,2.0
